Frame,FPS,
417,58.8235,
418,58.8235,
419,62.5,
420,58.8235,
421,58.8235,
422,62.5,
423,58.8235,
424,58.8235,
425,62.5,
426,58.8235,
427,58.8235,
428,62.5,
429,58.8235,
430,58.8235,
431,62.5,
432,58.8235,
433,58.8235,
434,62.5,
435,58.8235,
436,58.8235,
437,62.5,
438,58.8235,
439,58.8235,
440,62.5,
441,58.8235,
442,58.8235,
443,62.5,
444,58.8235,
445,58.8235,
446,62.5,
447,58.8235,
448,58.8235,
449,62.5,
450,58.8235,
451,58.8235,
452,62.5,
453,58.8235,
454,58.8235,
455,62.5,
456,58.8235,
457,58.8235,
458,62.5,
459,58.8235,
460,58.8235,
461,62.5,
462,58.8235,
463,58.8235,
464,62.5,
465,58.8235,
466,58.8235,
467,62.5,
468,58.8235,
469,58.8235,
470,58.8235,
471,62.5,
472,58.8235,
473,58.8235,
474,62.5,
475,58.8235,
476,58.8235,
477,58.8235,
478,62.5,
479,62.5,
480,58.8235,
481,58.8235,
482,58.8235,
483,62.5,
484,58.8235,
485,62.5,
486,58.8235,
487,58.8235,
488,58.8235,
489,62.5,
490,58.8235,
491,58.8235,
492,62.5,
493,58.8235,
494,58.8235,
495,62.5,
496,58.8235,
497,62.5,
498,58.8235,
499,58.8235,
500,62.5,
501,55.5556,
502,62.5,
503,58.8235,
504,62.5,
505,58.8235,
506,58.8235,
507,62.5,
508,58.8235,
